Name,Brand,Notes
Midnight Saffron Eau de Parfum,Tom Daxon," Saffron, lavender, jasmine, suede, amber woods"
Dolls Eau de Parfum,Moth and Rabbit," Cherry blossom, geranium, davana, orange blossom, ylang ylang, apple blossom, rose, sweet maple accord, musk, snow flake accord, ambergris, cedar, animalic notes."
Opale Eau de Parfum,Omnia Profumo," Jasmine, lilac, hawthorne, geranium, seaweed, white musk, patchouli, cedar, vanilla, tonka"
Poudrextase Eau de Parfum,Marlou," Rice powder, dried rose, cypress, civet, musks"
Single Man Eau de Parfum,Moth and Rabbit," Cardamom, Ginger Oil, Red Pepper, Winter Lemon Oil, Nutmeg, Rose, Elemi Oil, Violet Wood, Cashmere Wood, Oakmoss, Amber, Patchouli, Mahogany, Cedar."
Whisky Oud Parfum Concentration,Farmacia SS. Annunziata dal 1561," Labdanum, incense, whisky, saffron, suede, oud, cedar, vetiver, amber, musk"
Limited 71 Intense Eau de Parfum,Widian," Bergamot, Sage, Lavender, Bays, Dry Amber, Akigalawood, Cashmeran, Oudwood, Patchouli, Amber, Vetiver"
Lambrosc Eau de Parfum,Hilde Soliani," Sweet red fruits, red wine"
Donna Sentenza Eau de Parfum,Hilde Soliani," Banana, cream, vanilla"
Manteuse Eau de Parfum,Stephane Humbert Lucas 777," Bergamot, white flowers, leather, honey, iris, labdanum, sandalwood, smoked vanilla, shangrilade musk, oppoponax"
Against Nature Eau de Parfum,Timothy Han Edition Perfumes," Pink pepper, lemon, juniper, green notes, metal, jasmine, ylang ylang, lacquer, musk, vetiver, sandalwood, amber, patchouli"
Cornaline Eau de Parfum,Anatole Lebreton," Carrot root, geranium, orris, ylang ylang, peach, red berries, green notes, mirabilis, musk, vanilla"
Bluebijou Eau de Parfum,Piotr Czarnecki," Violet, blueberry, cacao, truffle, tobacco, dark chocolate, cognac, oud, cashmeran, musk, amber"
Kiviskin Eau de Parfum,Piotr Czarnecki," Saffron, nutmeg, pimento, violet, tobacco, dark chocolate, benzoin, cedar, leather"
Venom of Angel Eau de Parfum,Piotr Czarnecki," Coconut, olibanum, black pepper, aloe vera, sugar cane, rum, ivy, cedar, white chocolate"
Hili Eau de Parfum,Widian," Bergamot, pink pepper, coriander, cinnamon, jasmine, tuberose, ylang ylang, tiare, amber, vanilla, coconut milk, sandalwood, patchouli, cedar, tobacco leaf"
Niral Eau de Parfum,Neela Vermeire Creations," Iris, pink pepper, tea, Turkish rose, green wine lees, cabreuva, angelica seed, ambrette seed, cardamom, leather, magnolia, jasmine, sandalwood, cedar"
London Eau de Parfum,Widian," Oud, cypress, violet, lily of the valley, raspberry, leather, dry amber, musk, vanilla"
Buonissimo Eau de Parfum,Hilde Soliani,"vanilla, cream, cappuccino"
Boronia Eau de Parfum,Grandiflora," Boronia, green notes, apricot, woods, resins, cognac, floral notes, black tea, tobacco, suede, caramel"
Ambilux (formerly 50ml d'Ambiguite) Eau de Parfum,Marlou," Pink peppercorn, cumin, incense, ylang, dune plants, castoreum, costus"
Grimoire Eau de Parfum,Anatole Lebreton," Bergamot, basil, lavender, elemi, olibanum, Atlas cedar, cumin, patchouli, moss, muscs"
The Decay Of The Angel Eau de Parfum,Timothy Han Edition Perfumes," Mandarin, neroli, rose, ylang-ylang, frankincense, sambac jasmine, acacia, cade, oud, cedarwood, patchouli, tonka, labdanum"
Dryad Eau de Parfum,Papillon Artisan Perfumes," cedrat, bigaradier orange, bergamot, narcissus, oakmoss, jonquil, clary sage, orange blossom, lavender, orris, vetiver, thyme, galbanum, costus, tarragon, apricot, benzoin, peru balsam, styrax"
L'homme Accompli Eau de Parfum,Divine," Amber, leather, vetiver, guaiac wood, styrax, atlas cedar, violet, lemon, bergamot"
White Madera Eau de Parfum,Omnia Profumo," Vanilla, citrus, peach blossom, floral notes, cinnamon, star anise, tobacco blossom, coconut, white musk, cedar"
Cactus Azul Eau de Parfum,Fueguia 1833," Cactus flower, cedarwood, nanah mint"
Chamber Eau de Parfum,Fueguia 1833," Aquatic plants, Spanish moss, Mate"
Jacaranda Eau de Parfum,Fueguia 1833," Rosewood, Mahogany, Spruce"
Muskara Phero J Eau de Parfum,Fueguia 1833," musks ""from the pheromone family"""
Quilombo Eau de Parfum,Fueguia 1833," Vanilla, Pampa Milk, Cane Sugar"
Thays Eau de Parfum,Fueguia 1833," Mate flowers, Osmanthus, Green tea"
La Cautiva Eau de Parfum,Fueguia 1833," Musk, blackcurrant, vanilla"
