Name,Brand,Notes
No. 1 for Women Eau de Parfum,Clive Christian," Pineapple, plum, mirabelle, bergamot, lemon, and cardamom, rose, jasmine, ylang ylang, orris, orchid, vanilla, tonka seeds, cedarwood, sandalwood, musk, amber"
No. 1 for Men Eau de Parfum,Clive Christian," Bergamot, lime, Sicilian mandarin, cardamom, nutmeg, thyme, lily of the valley, rose, jasmine, ylang ylang, heliotrope, cedarwood, sandalwood, vetiver, ambery woods, and vanilla."
1872 for Men Eau de Parfum,Clive Christian," Grapefruit, lime, bergamot, petit grain, black pepper, nutmeg, cyclamen, sage, freesia, tagete oil, jasmine, cedarwood, patchouli, olibanum, amber, and musk"
Patchouli Cologne,Santa Maria Novella,
Orange Blossom / Zagara Cologne Eau de Cologne,Santa Maria Novella,
Pot Pourri Cologne Eau de Cologne,Santa Maria Novella,
Musk / Muschio Cologne Eau de Cologne,Santa Maria Novella,
Honeysuckle / Caprifoglio Cologne Eau de Cologne,Santa Maria Novella,
Russian Cologne Eau de Cologne,Santa Maria Novella,
Noir Patchouli Eau de Parfum,Histoires de Parfums," Patchouli, Coriander, Cardamom, Patchouli, Bunch of Flowers, Berries, Patchouli, Musk, Leather, Vanilla"
Ambre 114 Eau de Parfum,Histoires de Parfums," Thyme, Nutmeg, Rose, Geranium, Patchouli, Sandalwood, Cedar, Vetiver, Amber, Vanilla, Tonka Bean, Benzoin, Musk"
1725 Casanova Eau de Parfum,Histoires de Parfums," Bergamot, Citrus, Grapefruit, Licorice, Lavender, Star Anise, Vanilla, Almond, Sandalwood, Cedar, Amber"
1740 Marquis de Sade Eau de Parfum,Histoires de Parfums," Bergamot, Davana Sensualis, Patchouli, Coriander, Cardamom, Cedar, Birch, Labdanum, Leather, Vanilla, Elemi, Immortelle"
1804 George Sand Eau de Parfum,Histoires de Parfums," Tahitian Gardenia, Corsica Peach, Hawaiian Pineapple, Clove, Nutmeg, Indian Jasmine, Lily of the Valley, Rose of Morocco, Sandalwood, Patchouli, Benzoin, Vanilla, White Musk"
1828 Jules Verne Eau de Parfum,Histoires de Parfums," Grapefruit, Citrus, Tangerine, Eucalyptus, Nutmeg, Pepper, Cedar, Incense, Vetiver, Pinecone"
Oud - Eau de Parfum,Maison Francis Kurkdjian," Elemi resin, saffron, Atlas cedar wood, patchouli, oud"
Rose Pivoine Eau de Toilette,PARFUMS DE NICOLAI," Turkish rose, Peony, Geranium."
Bamboo Harmony Eau de Parfum,By Kilian," Bergamot, bigarade, neroli, white tea, mimosa, spices, Maté Essence, fig, oak moss"
S-ex Eau de Parfum,S-Perfume," bergamot, nutmeg, pepper, leather, jasmine, sandalwood, patchouli, birchwood"
100% Love Eau de Parfum,S-Perfume," Valeriane, red currant, ivy leaves, Bulgarian rose, Turkish rose, musks, labdanum, cocoa"
Oud Stars - Al Khatt Eau de Parfum,Xerjoff," Italian Bergamot, Jasmine Sambac, Cashmeran, Vanilla, Oakmoss, Laos Benzoin, Oud Loas"
Oud Stars - Mamluk Eau de Parfum,Xerjoff," Italian Bergamot, Honey, caramel Accord, Jasmine Garndiflorum, Osmanthus, Laos Benzoin, Vanilla MAdagascar, Indian Oud, Crystal Musks, Amber"
Oud Stars - Gao Eau de Parfum,Xerjoff," A Blend of Spanish Saffron with a touch of Iranian Saffron, Gurjum, Bois de Cade, Nagarmotha, Indonesian Patchouly, Amber, a Blend of Thai Pratchin Oud with Oud Laos (Udomsai)"
Oud Stars - Fars Eau de Parfum,Xerjoff," Italian Bergamot, French Lavender, cade, Egyptian Geranium, Jasmine Absolute, Cedar Atlas, Amber, Santalwood, Patchouly, Haiti Vetyver, Indian Nagarmotha"
Francois Charles Eau de Parfum,Rance," Basil, Cardamom, Lavendar, Bergamot, Calabrian Lemon, Thyme, Ginger, Geranium, Carnation, Jasmine, Virginia Cedar, Florentine Iris, Ambergris, Leather, Musk"
Le Vainqueur Eau de Parfum,Rance," Grapefuit, Bergamot, Ginger, Melon, Watermelon, Italian Mandarin, Lavender, Geranium, Lily of the Valley, Nutmeg, Calabrian Jasmine, Sandalwood, Vetiver, Florentine Iris, Leather, Ambergris, Musk"
Le Roi Empereur Eau de Parfum,Rance," Lavender, orange flower, anise, cardamom, violet, iris, amber, leather, cinnamon, cedar, musk"
Fils de Dieu Eau de Parfum,Etat Libre d'Orange," Ginger, coriander leaves, lime, shiso, bergamot, Jungle Essence coconut, rice note, Jungle Essence cardamom, jasmine, cinnamon, French May rose, tonka bean, vetiver, musk, amber, leather, castoreum."
Bijou Romantique Eau de Parfum,Etat Libre d'Orange," Bergamot, Italian lemon, pink pepper essence, ylang-ylang, clary sage, Tuscan iris, Jungle Essence coconut, Haitian vetiver, patchouli, benzoin, vanilla."
Precious Oud Eau de Parfum,Van Cleef & Arpels," bergamot, pink pepper, incense, jasmine, tuberose, patchouli, oud, sandalwood, vetiver and ambergris"
Dark Eau de Parfum,Andrea Maack Parfums," Yellow mandarin, pink berries, petitgrain, lemon tree, aldehydes, rose, metal, green apple ambergris, orange blossom, virginia cedarwood."
What We Do In Paris Is Secret Eau de Parfum,A Lab on Fire," Bergamot, honey, lychee, Turkish rose essence, tonka bean, vanilla, heliotrope, tolu, sandalwood, ambergris, musks"
Sombre Negra Eau de Parfum,YOSH," Vetiver, patchouli, cedar, olibanum, pink pepperberry and black peppercorn, clove, juniper, citrus, nutmeg, cumin, tonka and orris root"
Geisha Rouge - Eau de Parfum,Aroma M," Tonka bean, tobacco, vanilla, sandalwood, cinnamon, star of anise, clove"
Pluie de Soleil Eau de Toilette,Phaedon," Bergamot, lemon, freesia, strawberry, pineapple, sandalwood, musk"
Eau Rose Eau de Toilette,Diptyque," Bergamot, black currant, Centofilia and Damask rose, white musk, cedar"
Dolce Acqua Eau de Parfum,Profumum," Coconut, heliotrope, almond, vanilla, tonka bean"
Eccelso Eau de Parfum,Profumum," Bergamot, nutmeg, magnolia, Mysore sandalwood, musk, patchouli, labdanum resin"
07 Tanoke Eau de Parfum,Odin," Ginger, Bitter Orange, Black Pepper, Gaiacwood, Smoky Incense, Nutmeg, Redwood, Patchouli, Black Musk"
Bluff,Lubin," Lime, bergamot, nutmeg, cinnamon, clary sage, iris, kola nut, vetiver cedar, patchouli, sandalwood, vanilla."
Figaro Eau de Toilette,Lubin," Grapefruit,  bergamot,  pink peppercorns,  marine pine, fig and apple,  damson,  coriander leaves,  clover,  essence of vetiver,  styrax,  sandalwood,  tonka bean."
Itasca Eau de Parfum,Lubin," Neroli,   Marigold,   Mandarin,   Juniper Berry and Grapefruit,  Clove,   Tonka Bean,   Clary Sage,   Nutmeg,   Geranium Flower,  Itasca Red Pine (pinus resinosa),   Java Vetiver and Texan Cedar,   Partak Incense,   Ethiopian Myrrh,   Amber and Canadian Fir Balsam"
Sacrebleu Intense Eau de Parfum,PARFUMS DE NICOLAI," Mandarin orange and red berries, carnation, tuberose, cinnamon and jasmine, peru balsam, sandalwood, tonka bean and patchouli."
Kinski Eau de Toilette,Kinski," Cassis, juniper berry, schinus molle (Peruvian pepper), castoreum, marijuana acccord, nutmeg, plum, orchid, magnolia, orange flower, rose, benzoin, vetiver, cedar, patchouly, styrax, cistus, costus (ginger), musk, moss, ambergris"
Azemour les Orangers Eau de Parfum,Parfum d'Empire," orange, clementine, tangerine, grapefruit, coriander, cumin, black pepper, pink pepper, blackcurrant, galbanum, neroli, geranium, orange blossom, rose, hay, moss, henna and cypres"
L'Ambre de Carthage Eau de Parfum,Isabey," Cistus, Bergamot , Osmanthus, Jasmine Tea, Patchouli, Amber, Sandalwood, Olibanum, Musk"
Idole de Lubin - Eau de Parfum,Lubin," Rum absolute, saffron, black cumin, bitter orange peel, Doum palm, rock rose, smoked ebony, frankincense, sugar cane, leather, red sandalwood, amber"
Royal Oud,Creed," Lemon, pinkberries, bergamot, cedar, galbanum, angelica roots, sandalwood, oud, Tonkin musk"
Indochine Eau de Toilette,"Pierre Guillaume Paris, Parfumerie Generale"," Siam benzoin resinoid, Kampot pepper, Ceylonese cardamom, Burmese tanakha, Laotian honey."
Pour un Homme Eau de Toilette,Caron," Lavender, vanilla, musk, amber"
Juniper Sling Eau de Toilette,Penhaligons," Cinnamon, Orange Brandy, Angelica, Juniper Berry, Cardamom, Leather, Black Pepper, Orris Wood, Brown Sugar, Black Cherry, Vetiver, Ambrox"
L'eau Chic Eau de Toilette,PARFUMS DE NICOLAI," Bourbon geranium, peppermint, spearmint, lavender, sandalwood, Roman chamomile, iris, clove, pimiento, white musks"
Cinnamon Eau de Toilette,Comme des Garcons: Sherbet," cedar, bergamot, cinnamon, saffron, carnation, benjamin (aka benzoin, a resinous balsam), vetiver, teak wood, white musk"
Rhubarb Eau de Toilette,Comme des Garcons: Sherbet," bergamot, rhubarb, litchee (aka lychee), orchid sap, cognassier flower, vanilla cream, wenge"
Peppermint Eau de Toilette,Comme des Garcons: Sherbet," curly mint, peppermint, bay rose, white pepper, cardamom, amber, white musk"
Honour Man Eau de Parfum,Amouage," Pink pepper, black pepper, geranium, elemi, nutmeg, patchouli, frankincense, cedarwood, vetiver, tonka bean, musk"
Honour Woman Eau de Parfum,Amouage," Pepper, rhubarb, coriander, jasmine, tuberose, gardenia, lily of the valley, carnation, vetiver, frankincense, amber, opoponax, leather"
Pardon Parfum Extrait,Nasomatto,
Oudh Osmanthus Eau de Parfum,Mona di Orio," Elimi Phillipines, Green Mandarin from Calabre, Petitgrain Paraguay, Patchouli Indonesia, Absolu Osmanthus China, Nagarmotha India, Cedarwood from Atlas, Essential Oil Oudh Laos, Musc, Amber Gris"
Back to Black Eau de Parfum - ...,By Kilian," Bergamot, raspberry, blue chamomile, cardamom, coriander, saffron, cedarwood, vanilla, almond, vetiver, cistus labdanum, patchouli, oakmoss."
Aqua Universalis Forte Eau de Parfum,Maison Francis Kurkdjian," Bergamot, Sicilian citron, bouquet of white flowers, absolutes of Egyptian jasmin flowers and Moroccan roses, light woods."
1861 - Renaissance Eau de Parfum,Xerjoff," Bergamont, Mandarin, Lime, and Petitgrain, Rose, Lily of the Valley, Mint, Cedar, Patchouli, Amber and Musk."
Black Jade Eau de Parfum,Lubin," Galbanum, bergamot, cardamom, rose, jasmine, incense, cinnamon, Indian sandalwood, patchouli, vanilla, tonka bean, amber"
Tubereuse - Les Nombres d'Or Eau de Parfum,Mona di Orio," Pink pepper, bergamot from Calabria, green leaves, Indian tuberose absolute, Siamese benzoin, heliotrope, Amber, coconut milk, musk"
Vanille - Les Nombres d'Or Eau de Parfum,Mona di Orio," Brazilian orange, Indonesian cloves, petit grain, rum extract, Bourbon vetiver, ylang-ylang, Indian sandalwood, gaiac wood, Vanilla absolute from Madagascar, amber, tonka bean"
Vetyver - Les Nombres d'Or Eau de Parfum,Mona di Orio," Blue Ginger, Grapefruit, Nutmeg, Vetyver from Bourbon, Ciste Labdanum, Musk, Patchouli, Absolute Sage."
Dark Aoud Eau de Parfum,Montale," Indian sandalwood, Oud, Black Pepper, Saffron, Vetiver, Teak, Leather, Grey Amber"
Hippie Rose Eau de Parfum,HEELEY," Bergamot, green moss, Bulgarian rose, patchouli, incense, Haitian vetiver, amber, musk"
Gin Fizz Eau de Toilette,Lubin," bergamot, lemon, mandarin, juniper berry, iris, galbanum, orange blossom, rose absolute, jasmine, lily, benzoin, vetiver, oak moss, white musk"
Absolu de Vanille,La Maison de la  Vanille," Absolute Vanilla, Patchouli, Benzoin, Opoponax, Absolute Tonka Bean, Cistus Labadanum"
White Gardenia Petals Eau de Parfum,Illuminum,
Pure eVe Eau de Parfum,The Different Company," Evanescent musk, light wind, linen flower, white rose, cedar, calisson"
Love Eau de Parfum,By Kilian," Bergamot calabria, Tunisian neroli, pink pepper berries, coriander, honeysuckle, orange flower, orange water, Egyptian jasmine absolute, Bulgarian rose, iris butter absolute, caramelized sugar, vanilla absolute, labdanum, white musk"
Liaisons Dangereuses Eau de Parfum,By Kilian," Coconut flesh, prune absolute, plum, blackcurrant buds absolute, crystallized peach, cinnamon bark oil, ambrette seeds absolute, rose Damascus, geranium bourbon, Australian sandalwood oil, oakmoss extract, vetiver java oil, clear woods, vanilla extract, white musks"
Straight to Heaven Eau de Parfum - ...,By Kilian," Martinican rum absolute, dried fruits accord, Javanese nutmeg oil, hedione, cedarwood, Indonesian patchouli oil, ambergris, vanilla absolute, white musk"
Week-end Eau de Toilette,PARFUMS DE NICOLAI," Italian bergamot, petit grain, galbanum, lily of the valley, rose, mimosa, pepper, pink pepper, clove, oakmoss absolute and styrax balm."
Vittoria Apuana Eau de Parfum,Profumi del Forte," Sweet Brazilian orange, Sicilian mandarin, Coconut, Tahitian Gardenia, Banana, Madagascan Vanilla, Amber"
Tirrenico Eau de Parfum,Profumi del Forte," Marine accords, bitter Sicilian orange, bergamot, Egyptian jasmine, Philippine Elemi oil, basil, Oak moss, sandalwood, white musk"
Versilia Aurum Eau de Parfum,Profumi del Forte," Orange, strawberry, plum, rose, jasmine, tuberose, lily of the valley, heliotrope, orchid, vanilla, tonka bean, perù balsam, tolù balsam, sandalwood, white musk, grey amber"
Versilia Vintage Ambra Mediterranea Eau de Parfum,Profumi del Forte," Orange, coriander, ylang-ylang, jasmine, grey amber, benzoin from Siam, tolu balsam, cedar wood, patchouli, vanilla, white musk"
Battito d'ali Eau de Parfum,Profumum," Cocoa poudre, orange blossom, myrrh, vanilla"
Arso Eau de Parfum,Profumum," Leather, incense, pine resin, cedar leaves"
Fougere Royale Eau de Parfum,Houbigant," Bergamot, mediterranean herbs, lavender, chamomile, rondeletia, geranium, rose de Mai, cinnamon, carnation, amber, oakmoss, patchouli, tonka bean, clary sage"
La Belle Helene Eau de Parfum,Parfums MDCI," Pear accord, aldehydes, tangerine, lime blossom, rose essence, osmanthus absolute, ylang-ylang Madagascar, orris butter, hawthorn, Mirabelle plum, myrrh, vetiver Haiti, patchouli, cedar Virginia, amber, oak moss absolute, white musks, sandalwood, licorice wood."
Antonia Parfum Extrait,Puredistance," Jasmine, rose essence, ylang ylang, orris, ivy greens, galbanumb, vanilla, vetiver."
M Parfum Extrait,Puredistance," Bergamot, lemon, rose, jasmin, cinnamon, patchouli, moss, cistus, vetiver, vanilla, leather, musk"
1 Parfum Extrait,Puredistance," Fresh tangerine blossom, cassis, neroli bigarade, magnolia, rose wardia, jasmine, natural mimosa, sweet amber, vetiver, white musk"
Vanille Insensee Cologne Absolue,Atelier Cologne," Lime, cedrat, coriander, jasmine, vetiver, oak moss, Madagascar vanilla, oak wood, amber"
Knize Ten Golden Edition Eau de Toilette,Knize," Petitgrain, Orange, Rosemary, Bergamot, Lemon, Cedarwood, Sandalwood, Geranium, Iris, Rose, Carnation, Cinnamon, Leather, Ambergris, Musk, Moss, Vanilla, Castoreum"
Two Eau de Toilette,Knize," Bergamot, Lemon, Petitgrain, green notes, Galbanum, Iris, Violet, Jasmine, Carnation, Rose, Aldehydes, Cedarwood, Sandalwood, Moss, Tonka Bean, Musk, Ambergris"
XJ Damarose Eau de Parfum,Xerjoff,
Mediterraneo Eau de Parfum,Carthusia," Citric notes,  lemon leaves, green tea"
Ligea La Sirena Eau de Parfum,Carthusia," Tangerine, rose, powdery notes"
Fiori di Capri Eau de Parfum,Carthusia," Carnation, lily of the valley,  ylang-Ylang, oakmoss, ambergris, sandalwood"
Aria di Capri Eau de Parfum,Carthusia," Peach, fruity notes, mimosa, iris, jasmine, bay laurel"
Via Camerelle Eau de Parfum,Carthusia," Lemon, bitter orange, marine notes, musk, cedarwood"
Carthusia Uomo Eau de Parfum,Carthusia," Citrus, cedar, kelp, cashmere, notes of sea air and essences of fruit"
Numero Uno Eau de Parfum,Carthusia," Bergamot, Sicilian orange, lavender, thyme, eucalyptus, violet, ylang-ylang, patchouli, vetiver, myrrh and white musk"
Corallium Eau de Parfum,Carthusia," Bay Laurel, myrrh, tangerine, bergamot, patchouly, cedar, sage, musk, sedum"
1681 Eau de Parfum,Carthusia," Tangerine, bergamot, coriander, thyme, rosemary, iris, neroli, lavender, petitgrain, black pepper, sandalwood, cedarwood, frankincense, ambergris, vanilla, musk"
Craft Eau De Parfum,Andrea Maack Parfums," Aldehydes, elemi, cold metal, ice, cedar wood, patchouli"
Smart Eau de Parfum,Andrea Maack Parfums," Violet leaf, jasmine, sandalwood, vanilla, white musk, buckskin"
XJ Richwood Eau de Parfum,Xerjoff," Mysore sandalwood, citrus accord, rose, patchouli"
XJ Homme Eau de Parfum,Xerjoff," Mediterranean citrus, spices, leather, clove, lavender, Lysilang, woods, vetiver"
XJ Irisss Eau de Parfum,Xerjoff," Iris butter, carrot seed, rose absolute, ylang-ylang, rare woods, incense, musk"
Aventus Eau de Parfum,Creed," Bergamot, blackcurrant leaves, apple, pineapple, pinkberries, birch, patchouli, jasmine, musk, oakmoss, ambergris, vanilla"
Knize Ten Eau de Toilette,Knize," Lemon, bergamot, orange, petitgrain, rosemary,  geranium, rose, cedar, orris, carnation, cinnamon, orange blossom, sandalwood, leather, musk, moss, patchouli, ambergris, castoreum and vanilla."
De Bachmakov Eau de Parfum,The Different Company," Cedar wood, bergamot, shiso leaves, nutmeg, coriander leaves, white freesia, soft chalk accord"
Pink Quartz Eau de Parfum,Olivier Durbano,
Sartorial Eau de Toilette,Penhaligons," Aldehydes, ozonic effect, metallic effect, violet leaf, neroli, cardamom, black pepper, fresh ginger, beeswax, cyclamen, linden blossom, lavender, leather, gurjum wood, patchouli, myrrh, cedar wood, tonka bean, oakmoss, white musk, honey effect, old wood effect, vanilla, amber"
Memoir Man Eau de Parfum,Amouage," Basil, mint, frankincense, lavender, rose, oakmoss, leather, tobacco, absinth, wormwood, sandalwood, guaiac wood, vanilla, amber"
Une Rose Vermeille Eau de Parfum,Tauer Perfumes," lemon, bergamot, lavender, rose, raspberry, violet, vanilla, sandalwood, tonka bean, ambergris"
Cuir - Les Nombres d'Or Eau de Parfum,Mona di Orio," Cardamom, Absinth, Leather, Cade, Resinoid Opoponax, Castoreum"
Musc - Les Nombres d'Or Eau de Parfum,Mona di Orio," Neroli, Angelica, Rose, Heliotrope, Absolu Tonka Bean, Precious Musks"
Les Nuits d'Izu Eau de Parfum,Keiko Mecheri," Yuzu, Rose japonica, jasmine, littoral moss, hinoki, musk"
Violette in Love Eau de Toilette,PARFUMS DE NICOLAI," Italian lemon, blackcurrant bud absolute, raspberry, essence of Turkish rose, a violet-iris accord, coriander essence, pink pepper, black pepper and musk."
L'eau Mixte Eau Fraiche,PARFUMS DE NICOLAI," Blackcurrant-buds, peppermint, lemon from Italy, cinnamon, Rose from Damask, Jasmine, vetiver, oakmoss and cocktail of muscs"
Uden Eau de Parfum,Xerjoff," Grapefruit, lemon, rum absolute, rose, sandalwood, Gaiac wood, vanilla, coffee absolute, musk"
Kobe Eau de Parfum,Xerjoff," Calabrese bergamot, Florida orange, Southern Italian neroli, Paraguayan petitgrain, rose wood, resins, oud wood, palisander, tonka, amber"
Oranges and Lemons Say The Bells of St. Clements Eau de Parfum,HEELEY," Oranges, Lemons, Bergamot, Mandarine, Neroli, Petitgrain, Earl Grey Tea, Ylang Ylang, Vetiver"
Ginger Ciao Eau de Parfum,YOSH," Black coconut, night queen, tiger lily, neroli, ylang ylang, ginger, basil"
Bois Naufrage Eau de Toilette,"Pierre Guillaume Paris, Parfumerie Generale"," Fig tree, ambergris, fleur de sel accord (Vetiver oil fraction, orris absolute, mint, neroli oil, hedione)"
Vetyverio Eau de Toilette,Diptyque," mandarin orange, grapefruit, lemon, bergamot, vetiver, carrot seed, apricot, nutmeg, clove, ylang ylang, Turkish rose, geranium, cedarwood, musk"
Orange Sanguine Cologne Absolue,Atelier Cologne," Blood orange, bitter orange, jasmine, geranium from South Africa, amber woods, tonka beans, sandalwood"
Grand Neroli Cologne Absolue,Atelier Cologne," Moroccan neroli, lemon, Sicilian bergamot, petitgrain, Persian galbanum, moss, birch leaves, clean musk, white amber, vanilla from Madagascar"
Oolang Infini Cologne Absolue,Atelier Cologne," bergamot, Tunisian neroli, oolang tea, jasmine petals, blond leather, tobacco flower, gaiac wood, Haitian vetiver"
Bois Blonds Cologne Absolue,Atelier Cologne," Tunisian neroli, pink pepper, Moroccan orange flower, incense, light wood, musk, Haitian vetiver"
Orange Star Eau de Parfum,Tauer Perfumes," clementine, red mandarine, lemongrass essential oil, orange flower, violet flower, ambergris, vanilla, patchouli, ambreine"
Gardenia Petale Eau de Parfum,Van Cleef & Arpels," Green notes, citrus notes, lily of the valley, jasmine, and gardenia"
Orchidee Vanille Eau de Parfum,Van Cleef & Arpels," Mandarin orange, litchi, bitter almond, dark chocolate, Bulgarian rose, violet, vanilla pod, cedar, tonka, and white musk"
01 Nomad Eau de Parfum,Odin," Juniper berries, Himalayan cedarwood, bergamot, palmarosa, black pepper, heliotrope, Tonka bean, West Indian sandalwood, grey musk"
02 Owari Eau de Parfum,Odin," Owari mandarin, bergamot, grapefruit, Cubeb pepper, amyris wood, neroli, cedarwood, amber, tonkin musk"
03 Century Eau de Parfum,Odin," Silver birch, cypress, mint, vetiver, myrrh, patchouli, musk, oakmoss, amber"
Homme Eau de Parfum,Costume National," Grapefruit, cardamom, bergamot, cinnamon, thyme, cloves, patchouli, sandalwood, labdanum"
Fleur Nocturne Eau de Parfum,Isabey," Mandarin, apricot tree flower, white peach, jasmine, gardenia, magnolia, solar notes, vanilla, patchouli"
Aqua Universalis Eau de Toilette,Maison Francis Kurkdjian," Bergamot, Sicilian lemon, lily of the valley, sweet mock orange, light and musky woods."
Lumiere Noire Pour Femme Eau de Parfum,Maison Francis Kurkdjian," Cumin, pimiento, rose, narcissus and patchouli"
Lumiere Noire Pour Homme Eau de Toilette,Maison Francis Kurkdjian," Cumin, artemisia, rose, cinnamon and patchouli"
Intelligence & Fantasy Eau de Toilette,The Beautiful Mind Series," magnolia bud, bergamot, mandarin, schinus molle (pink peppercorn), freesia, osmanthus, rose oil, hedione, tiaré absolute, cedar, musk, sandalwood and cashmeran"
Aquae Nobilis Eau de Parfum,Profumum," Geranium, vetiver, musk, absinth"
Al Oudh Eau de Parfum,L'Artisan Parfumeur," Cumin, cardamom, pink pepper, date, rose, neroli, incense, saffron, leather note, oud, Atlas cedar, castoreum, civet, sandalwood, patchouli, myrrh, vanilla and tonka bean"
Millesime Imperial Eau de Parfum ...,Creed," Crisp fruit, sea salt, lemon, bergamot, mandarin, iris, musk, woody notes, marine notes"
Love in White Eau de Parfum ...,Creed," Orange zest from Italy, Florentine iris, daffodils from France, magnolia, Bulgarian rose, Tonkin rice, vanilla, ambergris, Mysore sandalwood"
Silver Mountain Water Eau de Parfum ...,Creed," Bergamot, mandarin, neroli, green tea, blackcurrant bud, sandalwood, musk"
Virgin Island Water Eau de Parfum ...,Creed," Sicilian white bergamot, Jamaican lime, Sicilian mandarin, hibiscus, ylang ylang, Indian jasmine, Tonkin musk, tropical wood"
Acqua Fiorentina Eau de Parfum ...,Creed," Greengage plum, apple, rose, white carnations, bergamot, lemon, Virginia cedar, sandalwood, white grapefruit"
Green Irish Tweed Eau de Parfum ...,Creed," Lemon, verbena from India, peppermint, violet leaves, Florentine iris, sandalwood, ambergris"
Himalaya Eau de Parfum ...,Creed," Bergamot, grapefruit, lemon, mandarin, pinkberries, nutmeg, cedarwood, sandalwood, vetiver, pepper, ambergris, musk, tonka bean"
Patchouli Intense Eau de Parfum,PARFUMS DE NICOLAI," lavender, Turkish rose, geranium Bourbon, frankincense, sandalwood, bay oil, cinnamon, patchouli, leather, amber, vanilla"
Midnight Oud Eau de Parfum,Juliette Has a Gun," Moroccan rose, geranium, saffron, oud note, patchouli, sandalwood, amber, animalic musks"
Fat Electrician Eau de Parfum,Etat Libre d'Orange," vetiver, vanilla bean, opoponax and myrrh"
L'humaniste Eau de Parfum,Frapin," Citrus, bergamot, cardamom, bay berry, black pepper, juniper, nutmeg, thyme, peony, gin, oakmoss, tonka bean"
Epic Woman Eau de Parfum,Amouage," cumin, pink pepper, cinnamon, damascene rose, geranium, jasmine, tea, amber, musk, frankincense, oud, sandalwood, guaiac wood, patchouli, vanilla and orris."
Feminite du Bois Eau de Parfum,Serge Lutens," Ginger, cinnamon, clove, plum, peach, orange blossom, violet, cedar, sandalwood, vanilla, benzoin"
Wazamba Eau de Parfum,Parfum d'Empire," Somalian incense, Kenyan myrrh, Ethiopian opoponax, Indian sandalwood, Moroccan cypress, labdanum, apple, fir balsam"
Black Afgano Parfum Extrait,Nasomatto,
Tam Dao - Eau de Toilette,Diptyque," Goa sandalwood, rosewood, cypress, ambergris"
L'eau Eau de Toilette,Diptyque," cinnamon, clove, geranium, sandalwood, rose"
Olene Eau de Toilette,Diptyque," wisteria, jasmine, narcissus, honeysuckle"
Oyedo Eau de Toilette,Diptyque," lemon, green mandarine, orange, tamarind, cedarwood"
L'Ombre dans l'Eau - Eau de Toilette,Diptyque, black currant leaves and Bulgarian rose
Do Son - Eau de Toilette,Diptyque," tuberose, orange tree leaves, rose berries, musk"
Reflection Man Eau de Parfum,Amouage," Rosemary, red pepper berries, bitter orange leaves, neroli, orris, jasmine, ylang ylang, vetiver, patchouli, sandalwood, cedarwood."
Complex Eau de Parfum,Boadicea the Victorious," Sage, basil, violet, incense, leather, musk, oud"
Nobara-Cha roll-on Perfume Oil,Aroma M," rose, sandalwood, amber"
Tom of Finland Eau de Parfum,Etat Libre d'Orange," Aldehydes, citron, leaves, pine, pepper, cypress, galbanum, birch, vanilla, tonka bean, iris, vetiver, styrax, suede, musk, amber"
Putain des Palaces Eau de Parfum,Etat Libre d'Orange," Rose absolute, violet, leather, lily of the valley, mandarin, ginger, rice powder, amber and animalic notes"
Secretions Magnifiques Eau de Parfum,Etat Libre d'Orange," Iode accord, adrenaline accord, blood accord, milk accord, iris, coconut, sandalwood and opoponax"
Jasmin et Cigarette Eau de Parfum,Etat Libre d'Orange," Jasmine absolute, tobacco, hay, apricot, tonka bean, turmeric, cedar, amber, musk"
Yes I Do (formerly Don't Get Me Wrong Baby) Eau de Parfum,Etat Libre d'Orange," Jasmine, aldehydes, lily of the valley, orange blossom, amber solar accord, patchouli, cacao, marshmallow."
Silver Man Eau de Parfum,Amouage," plum, bergamot, mandarin, orange blossom, jasmine, rose, orchid, ylang-ylang, heliotrope, amber, musk, patchouli, sandalwood, vetiver, frankincense"
Vepres Siciliennes Eau de Parfum,Parfums MDCI," mandarin, grapefruit, peach, pepper, green leaves, cardamom, muguet, magnolia, jasmine, ylang ylang, rose, tuberose, heliotrope, osmanthus, raspberry, cloves, plum, coconut, musk, amber, oakmoss, cedarwood"
Sublime Balkiss Eau de Parfum,The Different Company," Bergamot, cassis, blackberries, rose, lily of the valley, violet leaf, lilac, patchouli fraction, patchouli essence, heather."
Nuit de Cellophane Eau de Parfum,Serge Lutens," Green note, fruity note, jasmine, osmanthus, carnation, lily, muscs, almond, wood, honey"
Peche Cardinal Eau de Parfum,Parfums MDCI," Davana, peach, coconut, blackcurrant, tuberose, prune, lily, cedar, sandalwood, musc"
Dia Woman Eau de Parfum,Amouage," Fig, Cyclamen, Bergamot, Tarragon, Sage, Violet Leaves, Bush Peach Blossoms, Rose Oil, Orange Flower, Peony, Orris, White Musk, Incense, Vanilla, Heliotrope, Cedarwood, Sandalwood, Gaiac Wood"
Dia Man Eau de Parfum,Amouage," Cistus, Bigarade, Cardamon, Frankincense, Labdanum, Peony, Ylang Ylang, Orris, Plum Blossom, Vetyver, Leather, Patchouli, Amber and Palisander"
Gold Woman Eau de Parfum,Amouage," Frankincense, Rock Rose, Lily of the Valley, Orris, Jasmine, Myrrh, Musk, Cedarwood, and Sandalwood."
Vanitas Eau de Parfum,Profumum," vanilla, myrrh, orange flower, sandalwood"
Makassar (formerly Bois de Santal) Eau de Parfum,Keiko Mecheri," sandalwood of Mysore, white Chinese osmanthus, ambergris"
